b,3083,0,u,g,w,v,125,t,t,1,f,g,202,0,positive
a,5867,446,u,g,q,h,304,t,t,6,f,g,43,560,positive
a,245,5,u,g,q,h,15,t,f,0,f,g,280,824,positive
b,2783,154,u,g,w,v,375,t,t,5,t,g,100,3,positive
b,2017,5625,u,g,w,v,171,t,f,0,f,s,120,0,positive
b,3208,4,u,g,m,v,25,t,f,0,t,g,360,0,positive
b,3317,104,u,g,r,h,65,t,f,0,t,g,164,31285,positive
a,2292,11585,u,g,cc,v,4,t,f,0,f,g,80,1349,positive
b,5442,5,y,p,k,h,396,t,f,0,f,g,180,314,positive
b,425,4915,y,p,w,v,3165,t,f,0,t,g,52,1442,positive
b,2208,83,u,g,c,h,2165,f,f,0,t,g,128,0,positive
b,2992,1835,u,g,c,h,4335,t,f,0,f,g,260,200,positive
a,3825,6,u,g,k,v,1,t,f,0,t,g,0,0,positive
b,4808,604,u,g,k,v,4,f,f,0,f,g,0,2690,positive
a,4583,105,u,g,q,v,5,t,t,7,t,g,0,0,positive
b,3667,4415,y,p,k,v,25,t,t,10,t,g,320,0,positive
b,2825,875,u,g,m,v,96,t,t,3,t,g,396,0,positive
a,2325,5875,u,g,q,v,317,t,t,10,f,g,120,245,positive
b,2183,25,u,g,d,h,665,t,f,0,t,g,0,0,positive
a,1917,8585,u,g,cc,h,75,t,t,7,f,g,96,0,positive
b,25,1125,u,g,c,v,25,t,t,17,f,g,200,1208,positive
b,2325,1,u,g,c,v,835,t,f,0,f,s,300,0,positive
a,4775,8,u,g,c,v,7875,t,t,6,t,g,0,1260,positive
a,2742,145,u,g,x,h,3085,t,t,1,f,g,120,11,positive
a,4117,65,u,g,q,v,5,t,t,3,t,g,145,0,positive
a,1583,585,u,g,c,h,15,t,t,2,f,g,100,0,positive
a,47,13,u,g,i,bb,5165,t,t,9,t,g,0,0,positive
b,5658,185,u,g,d,bb,15,t,t,17,t,g,0,0,positive
b,5742,85,u,g,e,h,7,t,t,3,f,g,0,0,positive
b,4208,104,u,g,w,v,5,t,t,6,t,g,500,10000,positive
b,2925,1479,u,g,aa,v,504,t,t,5,t,g,168,0,positive
b,42,979,u,g,x,h,796,t,t,8,f,g,0,0,positive
b,495,7585,u,g,i,bb,7585,t,t,15,t,g,0,5000,positive
a,3675,5125,u,g,e,v,5,t,f,0,t,g,0,4000,positive
a,2258,1075,u,g,q,v,415,t,t,5,t,g,0,560,positive
b,2783,15,u,g,w,v,2,t,t,11,t,g,434,35,positive
b,2725,1585,u,g,cc,h,1835,t,t,12,t,g,583,713,positive
a,23,1175,u,g,x,h,5,t,t,2,t,g,300,551,positive
b,2775,585,y,p,cc,v,25,t,t,2,f,g,260,500,positive
b,5458,9415,u,g,ff,ff,14415,t,t,11,t,g,30,300,positive
b,3417,917,u,g,c,v,45,t,t,12,t,g,0,221,positive
b,2892,15,u,g,c,h,5335,t,t,11,f,g,0,2283,positive
b,2967,1415,u,g,w,h,75,t,t,1,f,g,240,100,positive
b,3958,13915,u,g,w,v,8625,t,t,6,t,g,70,0,positive
b,5642,28,y,p,c,v,285,t,t,40,f,g,0,15,positive
b,5433,675,u,g,c,h,2625,t,t,11,t,g,0,284,positive
a,41,204,y,p,q,h,125,t,t,23,t,g,455,1236,positive
b,3192,446,u,g,cc,h,604,t,t,3,f,g,311,300,positive
b,415,154,u,g,i,bb,35,f,f,0,f,g,216,0,positive
b,2392,665,u,g,c,v,165,f,f,0,f,g,100,0,positive
a,2575,5,u,g,c,h,875,t,f,0,t,g,491,0,positive
b,26,1,u,g,q,v,175,t,f,0,t,g,280,0,positive
b,3742,204,u,g,w,v,4,t,f,0,t,g,400,5800,positive
b,3492,25,u,g,w,v,0,t,f,0,t,g,239,200,positive
b,3425,3,u,g,cc,h,7415,t,f,0,t,g,0,0,positive
b,2333,11625,y,p,w,v,835,t,f,0,t,g,160,300,positive
b,2317,0,u,g,cc,v,85,t,f,0,f,g,0,0,positive
b,4433,5,u,g,i,h,5,t,f,0,t,g,320,0,positive
b,3517,45,u,g,x,h,575,f,f,0,t,s,711,0,positive
b,4325,3,u,g,q,h,6,t,t,11,f,g,80,0,positive
b,5675,1225,u,g,m,v,125,t,t,4,t,g,200,0,positive
b,3167,16165,u,g,d,v,3,t,t,9,f,g,250,730,positive
a,2342,79,y,p,q,v,15,t,t,2,t,g,80,400,positive
a,2042,835,u,g,q,v,1585,t,t,1,f,g,0,0,positive
b,2667,425,u,g,cc,v,429,t,t,1,t,g,120,0,positive
b,3417,154,u,g,cc,v,154,t,t,1,t,g,520,50000,positive
a,36,1,u,g,c,v,2,t,t,11,f,g,0,456,positive
b,255,375,u,g,m,v,25,t,t,3,f,g,260,15108,positive
b,1942,65,u,g,w,h,146,t,t,7,f,g,80,2954,positive
b,3517,25125,u,g,x,h,1625,t,t,1,t,g,515,500,positive
b,3233,75,u,g,e,bb,1585,t,f,0,t,s,420,0,negative
b,3483,4,u,g,d,bb,125,t,f,0,t,g,?,0,negative
a,3858,5,u,g,cc,v,135,t,f,0,t,g,980,0,negative
b,4425,5,u,g,m,v,1075,t,f,0,f,s,400,0,negative
b,4483,7,y,p,c,v,1625,f,f,0,f,g,160,2,negative
b,2067,529,u,g,q,v,375,t,t,1,f,g,160,0,negative
b,3408,65,u,g,aa,v,125,t,f,0,t,g,443,0,negative
a,1917,585,y,p,aa,v,585,t,f,0,t,g,160,0,negative
b,2167,1165,y,p,k,v,25,t,t,1,f,g,180,20,negative
b,215,975,u,g,c,v,25,t,f,0,f,g,140,0,negative
b,4958,19,u,g,ff,ff,0,t,t,1,f,g,94,0,negative
a,2767,15,u,g,m,v,2,t,f,0,f,s,368,0,negative
b,3983,5,u,g,m,v,25,t,f,0,f,s,288,0,negative
a,?,35,u,g,d,v,3,t,f,0,t,g,300,0,negative
b,2725,625,u,g,aa,v,455,t,f,0,t,g,200,0,negative
b,3717,4,u,g,c,bb,5,t,f,0,t,s,280,0,negative
b,?,375,u,g,d,v,875,t,f,0,t,s,928,0,negative
b,2567,221,y,p,aa,v,4,t,f,0,f,g,188,0,negative
b,34,45,u,g,aa,v,1,t,f,0,t,g,240,0,negative
a,49,15,u,g,j,j,0,t,f,0,t,g,100,27,negative
b,625,1275,y,p,c,h,5,t,f,0,f,g,112,0,negative
b,3142,155,u,g,c,v,5,t,f,0,f,g,120,0,negative
b,?,5,y,p,aa,v,85,t,f,0,f,g,0,0,negative
b,5233,1375,y,p,c,h,946,t,f,0,t,g,200,100,negative
b,2875,15,y,p,c,v,15,t,f,0,t,g,0,225,negative
a,2858,354,u,g,i,bb,5,t,f,0,t,g,171,0,negative
b,23,625,y,p,aa,v,125,t,f,0,f,g,180,1,negative
b,?,5,u,g,c,bb,835,t,f,0,t,s,320,0,negative
a,225,11,y,p,q,v,3,t,f,0,t,g,268,0,negative
a,285,1,u,g,q,v,1,t,t,2,t,g,167,500,negative
b,375,175,y,p,c,bb,25,t,f,0,t,g,164,400,negative
b,3525,165,y,p,c,v,4,t,f,0,f,g,80,0,negative
b,1867,5,u,g,q,v,375,t,t,2,f,g,0,38,negative
b,25,12,u,g,k,v,225,t,t,2,t,g,120,5,negative
b,2783,4,y,p,i,h,575,t,t,2,t,g,75,0,negative
b,5483,155,u,g,e,z,0,t,t,20,f,g,152,130,negative
b,2875,1165,u,g,k,v,5,t,f,0,f,s,280,0,negative
a,25,11,y,p,aa,v,45,t,f,0,f,g,120,0,negative
b,4092,225,y,p,x,h,10,t,f,0,t,g,176,0,negative
a,1975,75,u,g,c,v,795,t,t,5,t,g,140,5,negative
b,2917,35,u,g,w,v,35,t,t,3,t,g,329,0,negative
a,245,104,y,p,ff,ff,5,t,t,3,f,g,180,147,negative
b,2458,125,u,g,w,v,875,t,f,0,t,g,260,0,negative
a,3375,75,u,g,k,bb,1,t,t,3,t,g,212,0,negative
b,2067,125,y,p,c,h,1375,t,t,3,t,g,140,210,negative
a,2542,1125,u,g,q,v,129,t,t,2,f,g,200,0,negative
b,3775,7,u,g,q,h,115,t,t,7,t,g,300,5,negative
b,525,65,u,g,k,v,629,t,t,15,f,g,0,11202,positive
b,5783,704,u,g,m,v,14,t,t,6,t,g,360,1332,positive
a,2075,10335,u,g,cc,h,335,t,t,1,t,g,80,50,positive
b,3992,621,u,g,q,v,4,t,t,1,f,g,200,300,positive
